close,high,low,open,symbol,volume,id,key,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
202.34,217.79,200,217.01,SE,5779502,HISTORICAL_PRICES,SE,5/13/2021,1.62095E+12,0.032031011,0.032031011,217.01,202.34,217.79,200,5779502,217.01,202.34,217.79,200,5779502,13-May-21,-11.08,-0.0519
216.69,218.2751,207.32,207.32,SE,3488013,HISTORICAL_PRICES,SE,5/14/2021,1.62104E+12,0.105222891,0.105222891,207.32,216.69,218.2751,207.32,3488013,207.32,216.69,218.2751,207.32,3488013,14-May-21,14.35,0.0709
218.84,221.78,213.93,216.74,SE,3803434,HISTORICAL_PRICES,SE,5/17/2021,1.6213E+12,0.116188922,0.116188922,216.74,218.84,221.78,213.93,3803434,216.74,218.84,221.78,213.93,3803434,17-May-21,2.15,0.0099
228,228.11,203.96,206.75,SE,9603726,HISTORICAL_PRICES,SE,5/18/2021,1.62139E+12,0.162909313,0.162909313,206.75,228,228.11,203.96,9603726,206.75,228,228.11,203.96,9603726,18-May-21,9.16,0.0419
226.66,226.68,218.32,219.5,SE,3922691,HISTORICAL_PRICES,SE,5/19/2021,1.62147E+12,0.156074671,0.156074671,219.5,226.66,226.68,218.32,3922691,219.5,226.66,226.68,218.32,3922691,19-May-21,-1.34,-0.0059
246.15,246.75,230.59,230.74,SE,6234743,HISTORICAL_PRICES,SE,5/20/2021,1.62156E+12,0.255483015,0.255483015,230.74,246.15,246.75,230.59,6234743,230.74,246.15,246.75,230.59,6234743,20-May-21,19.49,0.086
246.33,250.25,242.5001,246.15,SE,4539856,HISTORICAL_PRICES,SE,5/21/2021,1.62165E+12,0.256401102,0.256401102,246.15,246.33,250.25,242.5001,4539856,246.15,246.33,250.25,242.5001,4539856,21-May-21,0.18,0.0007
254,259.07,249.5,249.5,SE,4251224,HISTORICAL_PRICES,SE,5/24/2021,1.6219E+12,0.295521779,0.295521779,249.5,254,259.07,249.5,4251224,249.5,254,259.07,249.5,4251224,24-May-21,7.67,0.0311
249.54,258,249.3,256.73,SE,2027101,HISTORICAL_PRICES,SE,5/25/2021,1.62199E+12,0.272773641,0.272773641,256.73,249.54,258,249.3,2027101,256.73,249.54,258,249.3,2027101,25-May-21,-4.46,-0.0176
246.23,254.27,245.89,251.8,SE,1988463,HISTORICAL_PRICES,SE,5/26/2021,1.62208E+12,0.255891054,0.255891054,251.8,246.23,254.27,245.89,1988463,251.8,246.23,254.27,245.89,1988463,26-May-21,-3.31,-0.0133
260.62,261.5,241.45,247.99,SE,6828974,HISTORICAL_PRICES,SE,5/27/2021,1.62216E+12,0.329286953,0.329286953,247.99,260.62,261.5,241.45,6828974,247.99,260.62,261.5,241.45,6828974,27-May-21,14.39,0.0584
253.24,261.34,252.01,255.51,SE,3174800,HISTORICAL_PRICES,SE,5/28/2021,1.62225E+12,0.291645415,0.291645415,255.51,253.24,261.34,252.01,3174800,255.51,253.24,261.34,252.01,3174800,28-May-21,-7.38,-0.0283
257.54,262.89,253.0428,257.7,SE,2934427,HISTORICAL_PRICES,SE,6/1/2021,1.6226E+12,0.313577476,0.313577476,257.7,257.54,262.89,253.0428,2934427,257.7,257.54,262.89,253.0428,2934427,1-Jun-21,4.3,0.017
258.35,261.97,255.84,256.53,SE,1507162,HISTORICAL_PRICES,SE,6/2/2021,1.62268E+12,0.317708865,0.317708865,256.53,258.35,261.97,255.84,1507162,256.53,258.35,261.97,255.84,1507162,2-Jun-21,0.81,0.0031
249.6,257.645,248.605,256.16,SE,2181384,HISTORICAL_PRICES,SE,6/3/2021,1.62277E+12,0.273079669,0.273079669,256.16,249.6,257.645,248.605,2181384,256.16,249.6,257.645,248.605,2181384,3-Jun-21,-8.75,-0.0339
